DATE,CLOSE,LTP,VALUE
2024-03-01,446.35,447.65,3733643239.6
2024-03-02,448.5,448.55,487014255.7
2024-03-04,455.4,455.2,5438471512.75
2024-03-05,460.65,461.0,4403980940.1
2024-03-06,461.6,461.0,6419297535.25
2024-03-07,458.6,458.5,4445435723.25
2024-03-11,453.9,452.5,3586056755.4
2024-03-12,449.3,449.6,3784581663.65
2024-03-13,417.05,417.85,7581533018.1
2024-03-14,427.7,427.75,8666846855.6
2024-03-15,415.25,415.5,10477021846.3
2024-03-18,421.85,422.0,4116275382.05
2024-03-19,419.05,418.8,3508692924.55
2024-03-20,419.5,420.0,2911513141.95
2024-03-21,432.05,432.45,4256571231.75
2024-03-22,431.95,432.2,3965751605.1
2024-03-26,435.95,435.75,4103282216.35
2024-03-27,429.45,431.5,7763978161.8
2024-03-28,434.1,433.95,4489728594.25
2024-04-01,442.05,442.0,3198236923.8
2024-04-02,443.2,443.4,5097742466.3
2024-04-03,445.5,446.2,3105541661.45
2024-04-04,448.85,450.0,6612944787.55
2024-04-05,446.95,447.05,2153919586.45
2024-04-08,447.4,447.0,1781089273.75
2024-04-09,439.85,440.6,3537735852.6
2024-04-10,456.35,455.5,7159372162.8
2024-04-12,455.6,456.3,5163613445.5
2024-04-15,451.0,451.4,3450414209.45
2024-04-16,453.2,453.25,2261953386.9
2024-04-18,438.6,442.0,4893927155.45
2024-04-19,435.3,435.75,3315598105.05
2024-04-22,442.95,444.0,2828629313.65
2024-04-23,440.95,441.5,2381506621.9
2024-04-24,443.85,444.2,2909705433.45
2024-04-25,452.45,452.9,4877792751.3
2024-04-26,455.8,455.15,3286037444.8
2024-04-29,453.25,453.75,2407373301.2
2024-04-30,454.3,453.9,2743052899.25
2024-05-02,453.9,452.0,6814685447.25
2024-05-03,474.6,475.5,23820723099.3
2024-05-06,460.6,460.05,16865736623.65
2024-05-07,456.0,455.65,6327078570.8
2024-05-08,464.45,465.55,7903270982.85
2024-05-09,443.5,444.0,7017859402.45
2024-05-10,449.4,448.95,4111458570.3
2024-05-13,444.0,444.25,4909074941.3
2024-05-14,448.7,448.5,2956814310.8
2024-05-15,467.85,467.5,10899598029.15
2024-05-16,468.3,467.25,8045267038.45
2024-05-17,470.25,469.9,5001138144.75
2024-05-18,469.7,469.45,464557046.55
2024-05-21,490.65,490.8,13329138800.7
2024-05-22,501.7,501.85,14216309754.6
2024-05-23,497.3,497.0,7141426233.4
2024-05-24,501.0,500.15,6077162733.05
2024-05-27,494.45,494.75,4363500836.9
2024-05-28,487.65,486.9,3998832036.9
2024-05-29,486.45,486.1,3908893223.6
2024-05-30,482.15,484.4,3734872629.2
2024-05-31,491.2,492.0,5475082324.95
2024-06-03,512.35,512.5,12581972098.45
2024-06-04,441.9,443.0,21738111649.6
2024-06-05,460.55,460.0,8473503030.6
2024-06-06,472.95,473.95,10333590084.4
2024-06-07,479.15,479.0,3955418120.75
2024-06-10,477.7,477.45,5282821416.95
2024-06-11,476.35,477.35,5350904100.0
2024-06-12,488.7,489.6,7540551834.55
2024-06-13,487.9,487.15,3622524555.25
2024-06-14,486.95,487.5,2915827137.45
2024-06-18,489.05,489.4,3394043640.95
2024-06-19,477.95,479.5,4310874663.65
2024-06-20,483.15,483.5,3791215750.1
2024-06-21,480.2,480.4,5006047738.5
2024-06-24,473.7,474.45,5274019124.25
2024-06-25,469.25,469.8,3736240197.4
2024-06-26,468.75,469.25,3120868783.3
2024-06-27,467.05,468.0,6922886014.3
2024-06-28,473.15,473.5,3928374308.4
2024-07-01,474.8,474.55,4062150632.55
2024-07-02,479.1,479.4,7023954637.7
2024-07-03,484.95,485.0,3503233245.8
2024-07-04,489.55,489.9,3814662720.2
2024-07-05,491.5,491.3,2821180981.9
2024-07-08,493.3,493.5,3682285523.8
2024-07-09,493.8,493.25,3184913293.65
2024-07-10,490.75,490.65,2925763850.65
2024-07-11,500.05,501.55,10108345730.1
2024-07-12,496.2,497.35,4119877695.8
2024-07-15,497.75,497.35,3540112494.8
2024-07-16,512.45,512.75,11872457416.65
2024-07-18,505.25,504.85,6333993548.3
2024-07-19,488.0,488.0,4907930945.7
2024-07-22,491.2,492.0,3583338680.1
2024-07-23,487.0,485.7,5458647001.55
2024-07-24,493.8,494.0,3377359578.9
2024-07-25,494.0,496.5,5084020259.6
2024-07-26,509.85,508.45,10383809318.05
2024-07-29,512.15,511.95,3720064237.15
2024-07-30,519.35,519.0,6870890927.35
2024-07-31,522.2,522.45,6225881878.8
2024-08-01,540.4,540.3,18660612176.2
2024-08-02,524.5,524.65,5808255324.8
2024-08-05,506.8,506.0,5999646686.45
2024-08-06,499.6,501.4,3622252578.2
2024-08-07,531.5,530.8,9605540113.25
2024-08-08,523.45,523.2,7192780883.8
2024-08-09,529.8,529.5,3409740466.3
2024-08-12,523.95,523.6,2753398152.1
2024-08-13,521.75,521.0,2728428017.05
2024-08-14,504.7,506.1,7509823981.65
2024-08-16,512.3,511.7,3719391264.2
2024-08-19,522.0,522.0,5570311099.0
2024-08-20,524.6,524.8,4303153158.4
2024-08-21,532.2,531.9,4810561387.75
2024-08-22,528.85,529.4,4520279090.35
2024-08-23,538.85,537.85,6759266470.45
2024-08-26,538.1,538.25,3880558401.65
2024-08-27,531.4,531.75,4204798158.9
